t,q0,q1,q2,q3,q4,q5,qdot0,qdot1,qdot2,qdot3,qdot4,qdot5,tau0,tau1,tau2,tau3,tau4,tau5
2.000000000000000042e-02,-1.039400153377829233e-02,2.060928110552138204e+00,-1.301078711790429443e+00,-7.505996921335826855e-01,4.680056925566798698e-02,1.569925887730662550e+00,-7.798346110189683378e-01,-1.339978020792625402e-01,-1.306870284652314362e+00,1.752427806362329754e+00,3.143130101494255868e+00,-4.983071493597918122e-02,-1.235153570164909120e-01,-2.855952627094954011e+01,-1.766099647670221984e+01,-7.358676259850954082e+00,-1.784961239280662137e-02,8.492787331264508785e-03
2.199999999999999872e-02,-1.194257849891486659e-02,2.060676849661077004e+00,-1.303617325945786831e+00,-7.471038138097214620e-01,5.310635275105438091e-02,1.569823831832288796e+00,-7.835886907056995865e-01,-1.466433046542105767e-01,-1.353135989429084418e+00,1.762867762518778525e+00,3.138699211899471209e+00,-4.848216604864079987e-02,1.606341737210672527e+00,-2.847367567939880928e+01,-1.715851107615777238e+01,-7.177996795694863152e+00,2.944400549209154616e-01,8.358938877255743527e-03
2.400000000000000050e-02,-1.350800934762343836e-02,2.060405068392536787e+00,-1.306254514103462938e+00,-7.435983172669179408e-01,5.938372203761248941e-02,1.569724945056298004e+00,-7.816043494662008317e-01,-1.619582774269315295e-01,-1.394740313586188440e+00,1.777290180442826051e+00,3.139839284866580371e+00,-4.724878721654315883e-02,2.634814763806657911e+00,-2.838167799637289335e+01,-1.668136902200702565e+01,-7.009410677392853728e+00,4.749007528346297358e-01,8.219420218800219113e-03
2.600000000000000228e-02,-1.507745648529030917e-02,2.060106672192858479e+00,-1.308982126006526858e+00,-7.400696586935772148e-01,6.565601585698296883e-02,1.569628656234118402e+00,-7.752826197576001555e-01,-1.796089440097110856e-01,-1.431398356441165642e+00,1.793713177565516403e+00,3.141974466930591348e+00,-4.598961945068208435e-02,3.019148022358709493e+00,-2.828499114853761753e+01,-1.623410670829359148e+01,-6.850845789768460037e+00,5.434123208138227357e-01,8.073000578218483825e-03
2.800000000000000058e-02,-1.663998317399659199e-02,2.059776189661511658e+00,-1.311791274886343173e+00,-7.365084177090557294e-01,7.193732820091290614e-02,1.569534665874038781e+00,-7.662057710750871387e-01,-1.993209217147459966e-01,-1.463052643155365207e+00,1.810845035611195364e+00,3.142341453969783149e+00,-4.461087894528964481e-02,3.253440100686470604e+00,-2.818435359333783197e+01,-1.581944827279909838e+01,-6.701191237598022710e+00,5.904478166524180782e-01,7.934868618865836484e-03
2.999999999999999889e-02,-1.818835840227846223e-02,2.059409374199212106e+00,-1.314671603546973433e+00,-7.329133261178428782e-01,7.822345421195181503e-02,1.569443209513371684e+00,-7.563025625879993274e-01,-2.209380120292150085e-01,-1.490094683669531017e+00,1.828761259385663696e+00,3.141764661106061673e+00,-4.311190462173786209e-02,4.680288469938929552e+00,-2.807908929715409130e+01,-1.543660110028276122e+01,-6.561258512584583258e+00,8.434449765242264530e-01,7.852156386317725098e-03
3.200000000000000067e-02,-1.971636619739967553e-02,2.059002157367894270e+00,-1.317612727886080304e+00,-7.292839405268417563e-01,8.450853464352328648e-02,1.569354579173342534e+00,-7.469245054842725828e-01,-2.443046773992772203e-01,-1.512975504085201983e+00,1.847668397351547087e+00,3.141392867230867303e+00,-4.150144227211324810e-02,8.446248583039256630e+00,-2.796839941166144072e+01,-1.508570121013519127e+01,-6.432378099619612044e+00,1.495602174663094530e+00,7.865414582895911486e-03
3.400000000000000244e-02,-2.122388523659184817e-02,2.058550853888103660e+00,-1.320605742538072169e+00,-7.256186245414346647e-01,9.079143080019709544e-02,1.569269012965119448e+00,-7.330237520096265502e-01,-2.691309587739544318e-01,-1.532226515496333485e+00,1.867497372228997143e+00,3.141449327886821408e+00,-3.977445571066689362e-02,1.265094595566923985e+01,-2.785190253888979584e+01,-1.478071697883954450e+01,-6.318963667463258105e+00,2.221383891305165559e+00,7.908771130700978022e-03
3.600000000000000422e-02,-2.271437693929152443e-02,2.058052006323814798e+00,-1.323642619010886756e+00,-7.219150363803782389e-01,9.707379700472118511e-02,1.569186717132345699e+00,-7.057795463063191166e-01,-2.950474031278822462e-01,-1.548426621124729285e+00,1.888015750487592959e+00,3.141609692318616531e+00,-3.791775533206855064e-02,1.359534215733197726e+01,-2.772946813671449462e+01,-1.454372494045633424e+01,-6.227229931192542089e+00,2.389039547853229806e+00,7.853517546346153178e-03
3.799999999999999906e-02,-2.417998503564788501e-02,2.057502638535015471e+00,-1.326716063728029305e+00,-7.181711802453876192e-01,1.033567869953839202e-01,1.569107917171103983e+00,-6.631953769667173759e-01,-3.217168948735966705e-01,-1.562114391894761978e+00,1.908893782126022787e+00,3.141647755642268613e+00,-3.592006729228862383e-02,9.790822621908187529e+00,-2.760269087216872208e+01,-1.436048645143281632e+01,-6.152441111414547414e+00,1.744961806635973556e+00,7.642240214914766336e-03
