t,q0,q1,q2,q3,q4,q5,qdot0,qdot1,qdot2,qdot3,qdot4,qdot5,tau0,tau1,tau2,tau3,tau4,tau5
3.799999999999999906e-02,1.430834871948139137e-06,2.065794686483759079e+00,-1.349638082778470416e+00,-7.139035559542524778e-01,-5.649933985485862161e-06,1.570798780201127176e+00,1.030553130693020856e-04,2.144205998366846277e-01,-4.233912535330778937e+00,4.123515651406303384e+00,-3.869483505421659553e-04,-6.530386714224126676e-05,-6.734719253595563074e-03,-3.299999616285023762e+01,-2.564463445702383027e+01,-9.332374584867531908e+00,-2.792790984606502522e-03,1.128291431618341084e-02
4.000000000000000083e-02,1.616646788165233479e-06,2.066179480753498776e+00,-1.357345636273408429e+00,-7.063777514977701566e-01,-6.350292431827780066e-06,1.570798654678896789e+00,1.079582405778722789e-04,2.256195116645526855e-01,-4.420022127072193108e+00,4.299815297233265277e+00,-4.050617269687079589e-04,-6.641766389223804348e-05,-6.352332784342217507e-03,-3.299999630381952187e+01,-2.526893999175596406e+01,-9.236480594727641602e+00,-2.542135262314730755e-03,1.116846656917573448e-02
4.200000000000000261e-02,1.812938142318292234e-06,2.066585943812249138e+00,-1.365441207912352573e+00,-6.984833132732434224e-01,-7.087956374821221396e-06,1.570798526290505537e+00,1.126904579795413825e-04,2.369992784497511051e-01,-4.602171730371708236e+00,4.472107235889069443e+00,-4.229021068739429205e-04,-6.737334194722003104e-05,-5.964520397711043850e-03,-3.299999663251641380e+01,-2.488753867239626061e+01,-9.137508720427645059e+00,-2.287549471457947601e-03,1.105058969190614131e-02
4.399999999999999745e-02,2.019386896137448032e-06,2.067014422328293577e+00,-1.373916939074485866e+00,-6.902282662292110738e-01,-7.862395119629514962e-06,1.570798395364528144e+00,1.172444262593041846e-04,2.485537688205782803e-01,-4.780327407804502826e+00,4.640394053682184605e+00,-4.404585082466894348e-04,-6.817568574266720310e-05,-5.571473186412908077e-03,-3.299999696945310745e+01,-2.450107011950121461e+01,-9.035555086644514233e+00,-2.029409767095777337e-03,1.092932922303011499e-02
4.599999999999999922e-02,2.235648201752521087e-06,2.067465288798065792e+00,-1.382764906092208035e+00,-6.816206234274879705e-01,-8.673063575541002193e-06,1.570798262215084007e+00,1.216137225609590798e-04,2.602727749305349114e-01,-4.954456046578844308e+00,4.804677490165157216e+00,-4.577194759201418236e-04,-6.882876782336021660e-05,-5.173392839748639296e-03,-3.299999708712738311e+01,-2.411017657914775825e+01,-8.930717984671273868e+00,-1.768093180678084351e-03,1.080473522195021970e-02
4.800000000000000100e-02,2.461377211293330345e-06,2.067938915718000814e+00,-1.391977185297918584e+00,-6.726683979298888616e-01,-9.519416651844017741e-06,1.570798127156294521e+00,1.257919240283043817e-04,2.721460889331217547e-01,-5.124524533903004553e+00,4.964959284890529290e+00,-4.746735547274939749e-04,-6.933666073407976913e-05,-4.770481047019072690e-03,-3.299999675803702104e+01,-2.371550029741281307e+01,-8.823095705800948707e+00,-1.503976743654734981e-03,1.067685774806902133e-02
5.000000000000000278e-02,2.696229076889695595e-06,2.068435675584534117e+00,-1.401545853024017241e+00,-6.633796027982284960e-01,-1.040090925782689880e-05,1.570797990502279973e+00,1.297726078051384443e-04,2.841635029818395108e-01,-5.290499756985251878e+00,5.121241177410847278e+00,-4.913092895019402105e-04,-6.970343701960654472e-05,-4.362939497525043439e-03,-3.299999575467982993e+01,-2.331768352037330772e+01,-8.712786541326568823e+00,-1.237437487475595566e-03,1.054574686078908578e-02
5.200000000000000455e-02,2.939848499234637509e-06,2.068955923325697110e+00,-1.411462930850097219e+00,-6.537622483345230107e-01,-1.131697722144238210e-05,1.570797852560519736e+00,1.335503114168384094e-04,2.963113794617404095e-01,-5.452349229779724915e+00,5.273524131495568312e+00,-5.076149087769353052e-04,-6.993261300977822708e-05,-3.950979877535164622e-03,-3.299999402868461118e+01,-2.291736988711138423e+01,-8.599892002699549565e+00,-9.688528355035456617e-04,1.041145918448254520e-02
5.399999999999999939e-02,3.191838370139163426e-06,2.069499943590644264e+00,-1.421720221328103939e+00,-6.438243338007672012e-01,-1.226698003957750256e-05,1.570797713611929547e+00,1.371234142031555066e-04,3.085623606553503651e-01,-5.610042973412028289e+00,5.421806007549101025e+00,-5.235773757921065308e-04,-7.002548000782818458e-05,-3.534853864187677275e-03,-3.299999224825807431e+01,-2.251520860914789779e+01,-8.484526482970753847e+00,-6.986017788710749236e-04,1.027407760536890209e-02
5.600000000000000117e-02,3.451791128410011946e-06,2.070068003457491201e+00,-1.432309472248964877e+00,-6.335738556987428050e-01,-1.325025812492195315e-05,1.570797573930782676e+00,1.404912560294546838e-04,3.208856585623616198e-01,-5.763551635847633747e+00,5.566083890076419571e+00,-5.391833374399041890e-04,-6.998277301862760604e-05,-3.114823133087908386e-03,-3.299999126076478717e+01,-2.211185029121782719e+01,-8.366807595832380429e+00,-4.270637006824616372e-04,1.013369157562182821e-02
5.800000000000000294e-02,3.719299212853922514e-06,2.070660370004354878e+00,-1.443222431403607731e+00,-6.230188105302326695e-01,-1.426615189016541671e-05,1.570797433791353281e+00,1.436531767611008345e-04,3.332504851824666381e-01,-5.912845865052014815e+00,5.706354863582500769e+00,-5.544194406127789070e-04,-6.980522704704761252e-05,-2.691149359841192319e-03,-3.299999191356937445e+01,-2.170794553805617966e+01,-8.246852954976642280e+00,-1.546179840419879370e-04,9.990390547414986638e-03
