t,q0,q1,q2,q3,q4,q5,qdot0,qdot1,qdot2,qdot3,qdot4,qdot5,tau0,tau1,tau2,tau3,tau4,tau5
5.600000000000000117e-02,8.009360603111229659e-01,2.007422602380822152e+00,-1.477674313312190790e+00,-5.395301037807831435e-01,-8.575427420204031481e-01,1.559339588943814636e+00,5.195305421495556297e-01,1.085201149733598491e+00,-1.708815097655442150e+00,1.283710449095031847e-01,-2.798476715591221797e+00,-5.073213169546979540e-01,7.658931257834434847e-01,-1.008317777783369174e+01,-7.908182185680931120e+00,-2.489246675839546175e+00,-3.109130125259352839e-01,2.458243209064922899e-02
5.800000000000000294e-02,8.019590624449134397e-01,2.009553944407684423e+00,-1.481040250435371686e+00,-5.392508719323737543e-01,-8.629986703658103497e-01,1.558357703953274775e+00,5.314119203660100377e-01,1.113659209199941325e+00,-1.745737798645097483e+00,1.109356012369814154e-01,-2.907214289332533230e+00,-5.317407931796660492e-01,1.074990450153860078e+00,-1.000614073107885105e+01,-7.904884249709322575e+00,-2.469985176058657306e+00,-1.434881514690363458e-01,1.803070407634470990e-02
5.999999999999999778e-02,8.030057420478367014e-01,2.011743145029720292e+00,-1.484483089135050449e+00,-5.390045190021732768e-01,-8.686603509321437766e-01,1.557327518333119887e+00,5.425018831950303433e-01,1.141111122180113790e+00,-1.780395332335124703e+00,9.201838092875140596e-02,-3.010169205933299175e+00,-5.565437578001192209e-01,1.606420284940724308e+00,-9.845155417536286535e+00,-7.982078890106573787e+00,-2.461639669870570479e+00,1.415627375432085278e-01,7.134942386396116512e-03
6.199999999999999956e-02,8.040764361356277368e-01,2.013988888442577618e+00,-1.487998316292549417e+00,-5.387939853197372120e-01,-8.745486696851656472e-01,1.556248233268347381e+00,5.515137075321442373e-01,1.167089677543272863e+00,-1.812775599028939366e+00,7.160417808273637774e-02,-3.085586163988277786e+00,-5.817086057044793534e-01,2.063244762344258909e+00,-9.701747403005347437e+00,-8.035232901964532104e+00,-2.448819155169067230e+00,3.932110894555395086e-01,-2.536045239900640378e-03
6.400000000000000133e-02,8.051689183701873365e-01,2.016288928837767447e+00,-1.491581395613480687e+00,-5.386222421724602416e-01,-8.806411837161997047e-01,1.555119092498838063e+00,5.580135590899926168e-01,1.191419482943986141e+00,-1.842846984580571057e+00,4.970343061877291468e-02,-3.125894224947344924e+00,-6.072162813018684435e-01,2.295079691318879789e+00,-9.628231431091391457e+00,-8.009592351751301464e+00,-2.423527789913312080e+00,5.333503666613371719e-01,-8.105084864502965988e-03
6.600000000000000311e-02,8.062776367077076900e-01,2.018639814156956813e+00,-1.495227761787636833e+00,-5.384923012899477390e-01,-8.868592369780864404e-01,1.553939394726496337e+00,5.626776887415584349e-01,1.214305001993726263e+00,-1.870552419571844149e+00,2.635991762028870589e-02,-3.141985265663002291e+00,-6.330510660220801666e-01,2.343107032388364264e+00,-9.612579893979656731e+00,-7.915509343852654034e+00,-2.387441666858916456e+00,5.792228813170583468e-01,-1.021438174897260423e-02
6.800000000000000488e-02,8.073974936557338777e-01,2.021038219068869157e+00,-1.498932794628359266e+00,-5.384071356492061700e-01,-8.931313532952137590e-01,1.552708456272802406e+00,5.661943869452992217e-01,1.235958915380973799e+00,-1.895836304770583958e+00,1.617725538439910692e-03,-3.144966254114804016e+00,-6.591964543504034157e-01,2.264740498855442485e+00,-9.636671653950330096e+00,-7.770149312238804562e+00,-2.343214248288683521e+00,5.573124948397381040e-01,-9.845199325648609431e-03
7.000000000000000666e-02,8.085257381620276629e-01,2.023481536890275212e+00,-1.502691690132975433e+00,-5.383695743430539915e-01,-8.994239703451066825e-01,1.551425641932886901e+00,5.690372815323516686e-01,1.256534674128285456e+00,-1.918654026019895875e+00,-2.448569482532891861e-02,-3.142425469124059401e+00,-6.856324377186873154e-01,2.129489757295193630e+00,-9.676095048642830321e+00,-7.599290775178538127e+00,-2.294657723437071528e+00,5.041594635114591272e-01,-8.342862095520126031e-03
7.200000000000000844e-02,8.096602398395827960e-01,2.025967353596671572e+00,-1.506499593379925228e+00,-5.383824058336444951e-01,-9.057135347723991314e-01,1.550090332450652530e+00,5.716040293551447604e-01,1.276162741739104822e+00,-1.938964255179415286e+00,-5.191476059757094835e-02,-3.140706893300165170e+00,-7.123379074957317814e-01,2.004406908404498200e+00,-9.706873590661960094e+00,-7.428631637074991190e+00,-2.245549984525948783e+00,4.557567910699258373e-01,-7.031309175857033272e-03
7.399999999999999634e-02,8.108000487426046954e-01,2.028493643801176471e+00,-1.510351532717967071e+00,-5.384483190459168345e-01,-9.119953581617725735e-01,1.548701965974007999e+00,5.739816593237535569e-01,1.294866483622171494e+00,-1.956735206416792217e+00,-8.063841730602630542e-02,-3.141073328684764743e+00,-7.392881611024537669e-01,1.902892634915270831e+00,-9.724031798022641837e+00,-7.263293982190584863e+00,-2.196653195474509879e+00,4.192888758863534959e-01,-6.174933698849411137e-03
7.599999999999999811e-02,8.119449203738512422e-01,2.031058614119102046e+00,-1.514242465626410183e+00,-5.385699422841444539e-01,-9.182760199243162891e-01,1.547260015936685384e+00,5.760716686218754212e-01,1.312605307951100420e+00,-1.971940795513930755e+00,-1.106282971374171059e-01,-3.141752642650792016e+00,-7.664563125221359741e-01,1.806301821058552637e+00,-9.733942691943793690e+00,-7.096109095313599902e+00,-2.146927964851442550e+00,3.847328730968608279e-01,-5.405270731219608514e-03
7.799999999999999989e-02,8.130944400216882917e-01,2.033660400617047781e+00,-1.518167302807295727e+00,-5.387498531249288458e-01,-9.245590278964955777e-01,1.545764003669095832e+00,5.778263032594764814e-01,1.329356708490491812e+00,-1.984553504680156122e+00,-1.418542574822325986e-01,-3.141800016373478055e+00,-7.938139516589594047e-01,1.704702953261258092e+00,-9.739851553152618635e+00,-6.923196360310964081e+00,-2.095809121214406989e+00,3.467466676792973490e-01,-4.526220236481158510e-03
8.000000000000000167e-02,8.142479189652787053e-01,2.036297027045239627e+00,-1.522120885150715530e+00,-5.389905531005814154e-01,-9.308429756493087348e-01,1.544213522757274859e+00,5.792789899789132502e-01,1.345127064931399108e+00,-1.994543513348043140e+00,-1.742833954988680933e-01,-3.141594264716450091e+00,-8.213303912262439610e-01,1.602107233331246938e+00,-9.740002135692026997e+00,-6.745940589444573199e+00,-2.043491489811117390e+00,3.074776793406288622e-01,-3.617463192914751897e-03
8.200000000000000344e-02,8.154046757349525665e-01,2.038966514341333358e+00,-1.526098025105367739e+00,-5.392945124310599692e-01,-9.371264124466579526e-01,1.542608196084277905e+00,5.804638922726498285e-01,1.359923083633168162e+00,-2.001880261134549421e+00,-2.078824903795356560e-01,-3.141526136446869621e+00,-8.489738231095306231e-01,1.502644371409724178e+00,-9.732586508180412821e+00,-6.565765537302559629e+00,-1.990174975560790482e+00,2.691388864039630513e-01,-2.761084346707823062e-03
8.400000000000000522e-02,8.165641551350435456e-01,2.041666911073352964e+00,-1.530093440952726480e+00,-5.396640973780659767e-01,-9.434094249773624652e-01,1.540947743412917736e+00,5.813897964098612148e-01,1.373742710275668300e+00,-2.006530908799128543e+00,-2.426179623736938740e-01,-3.141572282352575129e+00,-8.767085621118930749e-01,1.406052077911528864e+00,-9.717333969319396303e+00,-6.382412088961412877e+00,-1.935814325648009371e+00,2.315919655993824711e-01,-1.952545660801758556e-03
8.600000000000000699e-02,8.177258353190924867e-01,2.044396272152037231e+00,-1.534101819795196775e+00,-5.401016404241810731e-01,-9.496924746869654932e-01,1.539231917039239228e+00,5.820592873005151491e-01,1.386581765363199992e+00,-2.008461813899883097e+00,-2.784560952388243082e-01,-3.141608414306237940e+00,-9.044976068242575051e-01,1.310996367838278553e+00,-9.694350044419117296e+00,-6.195215685573840503e+00,-1.880306074387819715e+00,1.941259017792092423e-01,-1.166162349070683918e-03
8.799999999999999489e-02,8.188892001251177888e-01,2.047152641127222061e+00,-1.538117761179063736e+00,-5.406093858673416408e-01,-9.559756791651564667e-01,1.537460565359599185e+00,5.824804208876925848e-01,1.398438164718485366e+00,-2.007636572496688476e+00,-3.153626059824301553e-01,-3.141602860085564330e+00,-9.322999218057193005e-01,1.217110785841667431e+00,-9.663416484030895148e+00,-6.003951088138910208e+00,-1.823622000565083612e+00,1.565615371664037803e-01,-3.952019551523016793e-04
8.999999999999999667e-02,8.200537376131867839e-01,2.049934053507487253e+00,-1.542135802102312825e+00,-5.411895150756586004e-01,-9.622589135094433699e-01,1.535633605453012196e+00,5.826651086170155924e-01,1.409311308773727234e+00,-2.004016827016093405e+00,-3.533028091141913740e-01,-3.141589261560457036e+00,-9.600715846023000211e-01,1.124711168466483446e+00,-9.624087141959920544e+00,-5.808703879093233269e+00,-1.765787242475956198e+00,1.190949171537202950e-01,3.537067046050931481e-04
9.199999999999999845e-02,8.212189547985632165e-01,2.052738543733561905e+00,-1.546150417903257246e+00,-5.418441535722935409e-01,-9.685421029964140782e-01,1.533751024909408622e+00,5.826242084697682566e-01,1.419200937682527863e+00,-1.997564048707687112e+00,-3.922418404429566796e-01,-3.141587745129794218e+00,-9.877653512128506952e-01,1.033969914882406638e+00,-9.576003367664982946e+00,-5.609588895845502243e+00,-1.706843412728019427e+00,8.185648953423660390e-02,1.077088969186681348e-03
9.400000000000000022e-02,8.223843925997095239e-01,2.055564144631725654e+00,-1.550155975484459825e+00,-5.425753289083474762e-01,-9.748252722588699459e-01,1.531812935428117584e+00,5.823665393163791615e-01,1.428107345868412370e+00,-1.988239475192037808e+00,-4.321445298886087971e-01,-3.141591676115163434e+00,-1.015328118039038552e+00,9.447758253718542276e-01,-9.518972373163055778e+00,-5.406761777535940894e+00,-1.646859708132995426e+00,4.484461274500698563e-02,1.777644266053444565e-03
9.600000000000000200e-02,8.235496008123369682e-01,2.058408889078365167e+00,-1.554146806368555067e+00,-5.433850365709854691e-01,-9.811084504476041968e-01,1.529819494986155437e+00,5.819006739579039023e-01,1.436031593783919647e+00,-1.976005443548701557e+00,-4.729756107894661499e-01,-3.141593202910773819e+00,-1.042704394933416934e+00,8.570058074873883047e-01,-9.452832243188240113e+00,-5.200428329268981464e+00,-1.585920165674779225e+00,8.058475084138028849e-03,2.458584860018604278e-03
